card_num;amount;transaction_datetime;load_date
9403197162733118;13.71;2024-07-01 07:58:10;2024-07-01
9403197162733118;378.67;2024-07-01 08:48:10;2024-07-01
9403197162733118;159.31;2024-07-01 07:39:10;2024-07-01
6617468085694733;21.06;2024-07-01 20:11:10;2024-07-01
6617468085694733;200.36;2024-07-01 21:24:10;2024-07-01
1998968241028559;82.33;2024-07-01 22:21:10;2024-07-01
6195746821507933;464.66;2024-07-01 15:18:10;2024-07-01
8191018534623773;260.44;2024-07-01 12:05:10;2024-07-01
8191018534623773;312.37;2024-07-01 12:32:10;2024-07-01
6599483469029943;123.18;2024-07-01 03:06:10;2024-07-01
6599483469029943;32.2;2024-07-01 02:30:10;2024-07-01
1096527385098206;260.19;2024-07-01 22:35:10;2024-07-01
1096527385098206;418.59;2024-07-01 22:40:10;2024-07-01
1096527385098206;370.56;2024-07-01 23:06:10;2024-07-01
0281764067659511;332.52;2024-07-01 13:22:10;2024-07-01
0281764067659511;316.45;2024-07-01 12:51:10;2024-07-01
0281764067659511;14.82;2024-07-01 13:17:10;2024-07-01
4746269828123249;3.33;2024-07-01 19:12:10;2024-07-01
4746269828123249;495.52;2024-07-01 18:25:10;2024-07-01
4746269828123249;309.28;2024-07-01 18:33:10;2024-07-01
0437447436701349;50.29;2024-07-02 01:14:10;2024-07-01
0437447436701349;368.24;2024-07-02 00:43:10;2024-07-01
5787094790796327;1.23;2024-07-01 05:32:10;2024-07-01
9539465807495975;179.46;2024-07-01 14:43:10;2024-07-01
9539465807495975;220.16;2024-07-01 15:13:10;2024-07-01
7024295012983185;25.6;2024-07-02 00:03:10;2024-07-01
1141580498049447;66.57;2024-07-01 08:33:10;2024-07-01
1141580498049447;248.14;2024-07-01 07:10:10;2024-07-01
6058246846988542;214.34;2024-07-01 13:04:10;2024-07-01
5919635916628727;75.93;2024-07-01 09:16:10;2024-07-01
5919635916628727;358.62;2024-07-01 10:26:10;2024-07-01
5919635916628727;60.85;2024-07-01 09:17:10;2024-07-01
0542709786630507;239.13;2024-07-01 08:23:10;2024-07-01
0542709786630507;412.34;2024-07-01 10:14:10;2024-07-01
5709183314551803;17.38;2024-07-01 06:59:10;2024-07-01
5709183314551803;499.58;2024-07-01 07:21:10;2024-07-01
1974698976811937;44.27;2024-07-01 07:52:10;2024-07-01
9574737888933343;78.08;2024-07-01 09:59:10;2024-07-01
9574737888933343;455.67;2024-07-01 11:10:10;2024-07-01
7938451883284411;357.09;2024-07-01 10:28:10;2024-07-01
2115734669107628;113.16;2024-07-01 20:24:10;2024-07-01
2115734669107628;437.09;2024-07-01 20:10:10;2024-07-01
1909434668478213;165.71;2024-07-01 15:47:10;2024-07-01
2517932189411223;414.57;2024-07-01 21:41:10;2024-07-01
9096082439755329;357.82;2024-07-01 16:24:10;2024-07-01
9096082439755329;16.33;2024-07-01 15:49:10;2024-07-01
0162240485103303;373.64;2024-07-01 07:59:10;2024-07-01
0162240485103303;466.82;2024-07-01 07:39:10;2024-07-01
0162240485103303;327.15;2024-07-01 07:36:10;2024-07-01
7219233801008271;298.9;2024-07-01 04:54:10;2024-07-01
7219233801008271;204.21;2024-07-01 05:55:10;2024-07-01
7219233801008271;319.37;2024-07-01 04:05:10;2024-07-01
7371744175680876;450.45;2024-07-01 05:12:10;2024-07-01
